Name,Identifier,Weight,Sector,Shares Held
Mid-America Apartment Communities Inc.,MAA,0.049577,Real Estate,1261706
Incyte Corporation,INCY,0.049263,Health Care,1950684
Eastman Chemical Company,EMN,0.04925,Materials,1614218
Hormel Foods Corporation,HRL,0.049045,Consumer Staples,2993404
Seagate Technology PLC,STX,0.048726,Information Technology,2911119
Extra Space Storage Inc.,EXR,0.048265,Real Estate,1391947
Kansas City Southern,KSU,0.047837,Industrials,1174327
Hasbro Inc.,HAS,0.047829,Consumer Discretionary,1302232
Regency Centers Corporation,REG,0.047685,Real Estate,1891148
NRG Energy Inc.,NRG,0.047633,Utilities,3379615
Cincinnati Financial Corporation,CINF,0.04754,Financials,1686741
Tractor Supply Company,TSCO,0.047349,Consumer Discretionary,1353288
Akamai Technologies Inc.,AKAM,0.047277,Information Technology,1901593
Hologic Inc.,HOLX,0.047096,Health Care,3075734
UDR Inc.,UDR,0.046466,Real Estate,2966825
Universal Health Services Inc. Class B,UHS,0.046447,Health Care,972764
WestRock Co.,WRK,0.046407,Materials,2843309
Albemarle Corporation,ALB,0.046042,Materials,1228491
Varian Medical Systems Inc.,VAR,0.045903,Health Care,1029103
Chipotle Mexican Grill Inc.,CMG,0.045833,Consumer Discretionary,275262
Mosaic Company,MOS,0.045818,Materials,3888001
Molson Coors Brewing Company Class B,TAP,0.045783,Consumer Staples,2050861
F5 Networks Inc.,FFIV,0.045644,Information Technology,677652
Viacom Inc. Class B,VIAB,0.045622,Communication Services,3913068
CF Industries Holdings Inc.,CF,0.045609,Materials,2587071
HollyFrontier Corporation,HFC,0.044785,Energy,1805376
Discovery Inc. Class C,DISCK,0.044429,Consumer Discretionary,4012185
FMC Corporation,FMC,0.044313,Materials,1483514
Wynn Resorts Limited,WYNN,0.044247,Consumer Discretionary,1091259
Martin Marietta Materials Inc.,MLM,0.044243,Materials,695248
Macy's Inc,M,0.044149,Consumer Discretionary,3396476
Duke Realty Corporation,DRE,0.044142,Real Estate,3958123
Alliant Energy Corp,LNT,0.043861,Utilities,2565651
Juniper Networks Inc.,JNPR,0.043543,Information Technology,3871708
Raymond James Financial Inc.,RJF,0.043449,Financials,1463838
Huntington Ingalls Industries Inc.,HII,0.043007,Industrials,499830
Copart Inc.,CPRT,0.042847,Industrials,2253142
AES Corporation,AES,0.042369,Utilities,7332313
Cabot Oil & Gas Corporation,COG,0.042105,Energy,5008681
Nasdaq Inc.,NDAQ,0.042079,Financials,1281510
Alliance Data Systems Corporation,ADS,0.042055,Information Technology,528275
Mohawk Industries Inc.,MHK,0.041727,Consumer Discretionary,703153
Masco Corporation,MAS,0.041654,Industrials,3515872
NiSource Inc,NI,0.041243,Utilities,4050635
Pinnacle West Capital Corporation,PNW,0.041166,Utilities,1240940
